claim_id,target
ID_4RO0KZI9BBW2,168255.85772815347
ID_GTE9ZUJ9GZ97,123904.63834357262
ID_RUVIYRKWZ4RG,77918.23421263695
ID_J81X8SWU6JYN,73092.22354748845
ID_94NM3JJAWWOQ,85396.48715649545
ID_TKCNGKSO1CMY,18902.678814336658
ID_T1HVS684BH5I,27039.326459139585
ID_T8UW9ST7U75S,24957.237972021103
ID_MPCPOYBXBDQ9,23589.891012385488
ID_PTR3D1Y4HKCO,18804.078588604927
ID_BC4UJTA1DJB7,39834.67409045994
ID_03JOAPPUJI6H,20609.816290676594
ID_6DA9F02OTHSO,162806.51355734468
ID_JY758RRZZVA5,70704.73946239054
ID_9FQJ4MQEN5H8,158610.46758022904
ID_KINUO4FIN53W,183379.46449814737
ID_0TWXLFK8X4EK,72884.8888682574
ID_I6OMG6AI9ILY,119871.90572798252
ID_RVMFMHHRW1NO,108319.50151003897
ID_UCZH0BOUHPLA,121542.6693507433
ID_8AFFKZSAYZZ7,24249.236067906022
ID_90JC4ZNT0OJ4,41914.52778558433
ID_KCGFWWUG3GRU,13008.628612220287
ID_GT5MHBR2CCZB,374514.726404801
ID_Y73Z17TBVJH2,40905.850636437535
ID_9OPVG2YWFOHJ,104104.02248235047
ID_TAR4XMXNQ78T,25777.06317847967
ID_BOH67OUBV0XA,176005.06860271096
ID_XE0ZOYIEJT1L,21192.115274235606
ID_A26VR0IPQPYK,41304.05910126865
ID_5HK9WNZ8B2LB,31488.825948819518
ID_Y3ISOSIA9SXQ,78411.48027667403
ID_UR21G3FGN1W1,6486.254078641534
ID_UMY0EF1B711C,77647.48840782046
ID_RAI79W35GVL0,29909.84147141874
ID_R1XVA2NP0C2B,13007.250442877412
ID_GWH8NNO4VWA8,-2356.105699941516
ID_L9DV4R1IIWAN,44567.09440597892
ID_LDS7X8U77NHH,256591.88765521348
ID_KVA90UYWBFBQ,99242.20074683428
ID_97O5TWK60K3I,21473.13210146129
